Ticker,Sector,Price,Avg Volume,Volatility,Dividend Yield,Score
BTU,Energy,22.81,2526206,0.3328054206961236,0.013300001,0.039963294384390155
KWR,Basic Materials,172.39,107047,0.2885253894551303,0.0115,0.0398578441284399
ADEA,Technology,12.66,484646,0.41155996600040345,0.0163,0.03960540710119512
ZEUS,Basic Materials,39.54,120171,0.3940363559777513,0.0156,0.0395902554760222
WT,Financial Services,10.19,1666461,0.3110623600105668,0.012200001,0.03922043476936768
MLI,Industrials,73.66,756788,0.2894574628610994,0.0113,0.03903855125484354
BHE,Technology,44.53,347955,0.40080239620874075,0.0156,0.038921922991387026
PAHC,Healthcare,22.41,156634,0.561917739172306,0.0217,0.03861775218551328
HCI,Financial Services,105.93,129671,0.39123983512192145,0.015,0.038339654231082
MTH,Consumer Cyclical,213.69,426833,0.38665225792201285,0.0148,0.038277288433642455
FWRD,Industrials,37.19,935122,0.6995700922141703,0.026300002,0.03759452025280173
ASTE,Industrials,32.64,154079,0.44910597358113474,0.0162,0.036071664491172335
SFBS,Financial Services,86.25,247007,0.4033834739617457,0.0145000005,0.03594594582071324
LBRT,Energy,21.08,2158228,0.3798491679470299,0.0136,0.035803685114025374
JBSS,Consumer Defensive,94.78,70352,0.25424807990720666,0.0091,0.03579181405547386
BFH,Financial Services,53.06,996780,0.44928036433926266,0.016,0.035612506732918346
B,Industrials,39.71,344176,0.46881525410861696,0.0166,0.03540840417311602
MATX,Industrials,137.18,296680,0.2985832780741983,0.010299999,0.03449623524275341
WSFS,Financial Services,53.48,281517,0.3322881516939958,0.0114,0.03430757293596873
PIPR,Financial Services,283.82,140153,0.28187734602553643,0.0094,0.03334783774765786
AWI,Industrials,131.84,305666,0.2623814206093444,0.0087,0.033157835565473574
WS,Basic Materials,36.85,228593,0.5696657377196432,0.0186,0.03265072615119052
LEG,Consumer Cyclical,13.55,2699279,0.46665096192165656,0.0152,0.03257252473541851
LNN,Industrials,126.41,102352,0.36231750264752033,0.0115,0.031740117206503674
VFC,Consumer Cyclical,18.65,7118573,0.5979631916945252,0.0188,0.03144006230002891
ABCB,Financial Services,65.14,385657,0.3159796638253622,0.0095999995,0.03038170046698256
SCVL,Consumer Cyclical,45.82,260192,0.41079027438438753,0.0121,0.029455419844428215
MATV,Basic Materials,18.98,382728,0.7235639812162001,0.0212,0.02929941311391157
